Trait	N_SNP	Lambda_GC	Lambda_GC_bg
AAMO	5921352	12.954796721968975	12.954796721968975
BRCA	10750633	10.506768108574642	10.506768108574642
Height	1372123	4.116674430048449	2.9653363412778697
BMI	2335318	2.7890898561822084	2.565596566583526
BMI2	5397799	2.703970522053836	2.495171253919396
MDD	5754833	1.8084684917491085	1.7763051584712204
AAMC	5702674	1.6450808299233624	1.6107476965917515
SCZ	7655958	1.6148345031919378	1.5917940307017586
PTSD	8069008	1.5911206912377098	1.5911206912377098
CREAT	9636026	1.5743666870028552	1.5263060944935525
Depression3	7543589	1.565714634514049	1.547874870331434
GGT	9636024	1.531511307456771	1.4941110303086302
HbA1c	9635781	1.5075624867226838	1.4618615358890883
CRP	9636024	1.503067391175867	1.473807350440112
ALP	9636028	1.4606087893225657	1.417930718793125
IQ	9276844	1.456855907662131	1.4413049794107573
T-Protein	9635705	1.4431637912243471	1.4063611784564345
ALT	9636017	1.442543966854522	1.4154885521668816
CoPe	10094526	1.411223078645934	1.3930616612883528
T2D	5050902	1.4057544081351692	1.3948691495094847
Albumin	9635705	1.4027237738560083	1.381658570932922
Depression	7263027	1.3858508196680777	1.3804626846810646
BP	7604394	1.377476654187893	1.371520347471998
E-Smoking	11510629	1.3391323428297788	1.3391323428297788
Neuroticism	10958177	1.3379663351361628	1.3298271106999957
Calcium	9635690	1.336218854759057	1.3182685955901816
ADHD	1895129	1.326061747205593	1.3223048844328762
T-Bilirubin	9636026	1.2982344757012247	1.2818189345768125
SePa	11511083	1.286895690247612	1.286895690247612
Depression2	7638270	1.2792083301529429	1.276267168445482
GGE	4781702	1.2600022381561462	1.257781283099889
BMD	17142756	1.2544556211281344	1.2544556211281344
CAD	7944339	1.2544556211281344	1.2544556211281344
Glucose	9635692	1.2522423528218327	1.245620922775522
Insomnia2	7293389	1.2505222742286275	1.2489120404906884
Epilepsy	4791403	1.245620922775522	1.245070378174677
ASP	11510437	1.2384786869576572	1.2384786869576572
IBD	9731582	1.2384786869576572	1.2308228892605293
DRINKS	11510911	1.2346	1.2346
C-ADHD	5793744	1.2330064792134812	1.231368503688269
A-ADHD	8781632	1.2214966984421605	1.2203144662940868
AN	2321282	1.2199501004891695	1.2188669468226492
BRCA_ER+	10758178	1.217243617899944	1.2096902644510603
Crohn	9566948	1.2145418021993248	1.2086141887342747
GRT	11510356	1.208076429124651	1.2048537622508857
MoCo	38572273	1.200032241263833	1.147452144372108
MCH	38564414	1.200032241263833	1.147452144372108
MCV	38565493	1.200032241263833	1.200032241263833
LyCo	38562483	1.200032241263833	1.147452144372108
MPB	18060874	1.200032241263833	1.147452144372108
COA	8860757	1.200032241263833	1.200032241263833
HCT	38558799	1.200032241263833	1.147452144372108
MPV	38563462	1.200032241263833	1.200032241263833
WbCo	38573456	1.200032241263833	1.200032241263833
PlCo	38563883	1.200032241263833	1.200032241263833
AOA	8825225	1.200032241263833	1.200032241263833
RbCo	38572429	1.200032241263833	1.200032241263833
ALD	7705113	1.1761474760182251	1.1698403836161808
UC	9409713	1.1724651789654668	1.168267668866552
Insomnia	10858949	1.1693159653034155	1.168267668866552
Foc-Epile	4778163	1.1656500755664387	1.1651270959615962
BRCA_ER-	10758178	1.1609497159245097	1.1593861531318888
HDL	51724472	1.1609497159245097	1.1479690596080248
RDW	38568050	1.147452144372108	1.147452144372108
EoCo	38561977	1.147452144372108	1.147452144372108
NeCo	38574670	1.147452144372108	1.147452144372108
stroke	5579741	1.144870224013724	1.1438386939677387
Vitiligo	5579741	1.144870224013724	1.1438386939677387
PRCA	20360599	1.1412629592847248	1.1361247055219843
LDL	46994428	1.1371509489782914	1.1269200644495594
ASD	9107486	1.1361247055219843	1.1350991646239328
ALS	3542548	1.1233557654451527	1.1233557654451527
TAG	47184180	1.1167589496466233	1.1066670705941897
CUD	8953259	1.1021481725349889	1.1016469295366016
BaCo	38574489	1.0966439003615644	1.0966439003615644
HC	38558989	1.0966439003615644	1.0966439003615644
MCHC	38572222	1.0966439003615644	1.0966439003615644
PD	5377579	1.0941487824680796	1.0916579182842854
AFib	30048984	1.087681363269394	1.085697151372912
AD	20909722	1.078280414690576	1.0768016131571596
OV	5146130	1.0689401543952353	1.0664922238699486
OVS	5146132	1.0674708958163153	1.0650254653681956
COVID19-HGI-C2	11789307	1.0631209182982917	1.0626329801894772
COVID19-HGI-B2	11382865	1.051262521566154	1.0502465169021342
RA	9733967	1.0475407175199134	1.0000800684096995
P-ADHD	5793744	1.0446473613560971	1.0446473613560971
OVM	5146162	1.0427217352216611	1.0422407378828835
COVID19-HGI-A2	7949434	1.036960548777806	1.035811129695835
COVID19-HGI-B1	13112672	1.0233715561916292	1.0232292130039864
MPN	6677299	1.0136780676238308	1.0132069388241665
